Day,AvgTemperature
1,51.0
2,54.1
3,50.9
4,45.6
5,52.2
6,56.0
7,65.6
8,66.8
9,60.6
10,50.7
11,52.8
12,61.4
13,49.6
14,45.6
15,46.8
16,50.6
17,62.0
18,60.0
19,59.8
20,41.4
21,45.3
22,64.3
23,50.1
24,42.7
25,46.8
26,50.9
27,55.7
28,56.0
29,48.7
30,44.3
31,46.8
32,58.1
33,60.4
34,62.5
35,69.5
36,71.3
37,74.0
38,69.7
39,42.7
40,39.7
41,51.4
42,66.3
43,68.4
44,52.1
45,60.8
46,67.6
47,65.1
48,62.8
49,53.6
50,49.8
51,50.9
52,53.3
53,54.5
54,71.2
55,60.2
56,54.1
57,55.7
58,60.4
59,58.1
60,49.4
61,61.0
62,60.2
63,39.9
64,37.4
65,44.1
66,57.7
67,72.2
68,74.8
69,73.4
70,72.8
71,67.2
72,70.8
73,72.8
74,59.9
75,56.5
76,56.4
77,56.0
78,58.5
79,59.8
80,64.6
81,64.8
82,65.8
83,67.1
84,73.6
85,67.5
86,62.2
87,62.2
88,68.3
89,69.7
90,52.6
91,47.8
92,52.1
93,58.3
94,71.2
95,73.9
96,73.5
97,72.0
98,69.1
99,70.8
100,74.7
101,73.7
102,66.6
103,71.7
104,59.4
105,62.8
106,69.6
107,72.7
108,69.9
109,64.8
110,63.5
111,68.4
112,70.9
113,70.3
114,71.2
115,72.9
116,73.5
117,74.8
118,72.7
119,76.2
120,79.3
121,79.1
122,77.8
123,73.0
124,74.7
125,74.9
126,73.9
127,74.5
128,75.6
129,80.4
130,71.7
131,71.6
132,70.1
133,71.4
134,74.3
135,75.7
136,75.1
137,76.1
138,79.8
139,80.6
140,82.5
141,82.7
142,83.8
143,82.5
144,81.6
145,81.2
146,80.8
147,81.7
148,83.0
149,83.0
150,81.7
151,81.8
152,80.1
153,84.3
154,83.7
155,82.9
156,75.7
157,81.1
158,82.4
159,83.7
160,84.6
161,84.2
162,80.0
163,79.2
164,80.8
165,81.4
166,84.2
167,82.6
168,75.0
169,79.3
170,86.1
171,85.8
172,86.8
173,86.9
174,86.7
175,80.8
176,77.7
177,77.8
178,80.0
179,79.5
180,76.6
181,75.9
182,82.4
183,80.9
184,79.4
185,82.9
186,85.2
187,84.7
188,86.1
189,86.8
190,85.6
191,86.9
192,86.1
193,88.2
194,85.6
195,82.6
196,85.8
197,83.9
198,85.8
199,86.1
200,85.8
201,85.8
202,84.5
203,84.8
204,83.0
205,79.5
206,78.5
207,80.4
208,83.6
209,83.5
210,84.0
211,84.8
212,81.2
213,85.4
214,85.6
215,85.8
216,84.5
217,85.4
218,86.4
219,88.0
220,88.7
221,89.4
222,88.2
223,88.1
224,89.4
225,89.8
226,89.8
227,85.4
228,85.4
229,87.0
230,87.6
231,87.4
232,85.0
233,85.4
234,85.5
235,82.9
236,82.8
237,83.3
238,79.9
239,87.5
240,84.6
241,80.5
242,84.1
243,83.1
244,86.0
245,85.2
246,85.5
247,86.4
248,85.9
249,86.9
250,85.9
251,84.9
252,84.5
253,82.4
254,80.8
255,82.9
256,83.9
257,83.6
258,83.4
259,82.2
260,77.6
261,77.1
262,77.7
263,79.4
264,80.8
265,80.4
266,80.7
267,79.3
268,80.2
269,80.0
270,78.7
271,81.9
272,83.6
273,82.9
274,82.2
275,81.5
276,81.7
277,80.5
278,81.1
279,81.5
280,78.3
281,69.7
282,75.1
283,81.5
284,72.7
285,58.5
286,64.7
287,75.9
288,81.5
289,74.0
290,61.1
291,64.0
292,73.2
293,81.7
294,77.5
295,67.2
296,64.7
297,69.0
298,60.1
299,55.4
300,61.7
301,66.5
302,69.5
303,65.1
304,48.0
305,46.8
306,55.5
307,53.5
308,60.1
309,67.6
310,69.1
311,64.6
312,53.5
313,51.6
314,56.1
315,65.7
316,41.3
317,37.4
318,45.3
319,48.2
320,48.6
321,51.3
322,58.2
323,59.7
324,65.9
325,73.7
326,71.8
327,55.5
328,54.5
329,62.0
330,76.0
331,70.0
332,65.2
333,71.5
334,75.7
335,64.9
336,50.6
337,51.9
338,57.7
339,59.6
340,67.0
341,61.0
342,57.8
343,71.8
344,60.6
345,49.5
346,49.2
347,59.6
348,59.0
349,70.7
350,70.7
351,46.3
352,44.8
353,44.0
354,48.7
355,51.0
356,51.1
357,53.4
358,54.8
359,58.3
360,61.5
361,61.7
362,67.8
363,65.8
364,52.0
365,49.1
